,Building,Flat,Area,Location,Connectivity,Price
0,Miravet District,2 BHK,842-869 sq.ft. (78-81 sq.m.) Carpet Area,2 BHK Apartment in Ravet,15,₹ 66.67  - 68.81 L
1,Jogeshwari Sun City4.4 ★,,"1,000 sq.ft. (93 sq.m.) Plot Area",Residential land / Plot in Wagholi,10,"₹ 22 L₹ 2,200/sq.ft."
2,LMS Finswell Woods,2 BHK2 Baths,773-782 sq.ft. (72-73 sq.m.) Carpet Area,2 BHK Apartment in Viman Nagar,47,"₹ 98  - 99 L₹ 12,668/sq.ft."
3,Mangal Shanti Mansha Phase 2,2 BHK2 Baths,640-700 sq.ft. (59-65 sq.m.) Carpet Area,2 BHK Apartment in Wagholi,13,"₹ 45.21  - 49.07 L₹ 7,036/sq.ft."
4,Solitere Emerald Tower,2 BHK,741-805 sq.ft. (69-75 sq.m.) Carpet Area,2 BHK Apartment in Vadgaon Budruk,50,₹ 65  - 70.65 L
5,Kuber Antonia,2 BHK2 Baths,730 sq.ft. (68 sq.m.) Carpet Area,2 BHK Apartment in Wakad,48,₹ 66.57 L
6,Maithili Square,2 BHK,560-729 sq.ft. (52-68 sq.m.) Carpet Area,2 BHK Apartment in Kiwale,6,₹ 40.31  - 52.37 L
7,Anika Piccadilly,2 BHK2 Baths,747 sq.ft. (69 sq.m.) Carpet Area,2 BHK Apartment in Punawale,15,"₹ 55 L₹ 7,362/sq.ft."
8,Mandarin 33 West Avenue,3 BHK,"1,428-1,723 sq.ft. (133-160 sq.m.) Carpet Area",3 BHK Apartment in Baner,49,"₹ 2.21  - 2.97 Cr₹ 16,700/sq.ft."
9,Godrej Woodsville,3 BHK,973 sq.ft. (90 sq.m.) Carpet Area,3 BHK Apartment in Hinjewadi,6,₹ 99.6 L
10,Godrej Woodsville,2 BHK,771 sq.ft. (72 sq.m.) Carpet Area,2 BHK Apartment in Hinjewadi,6,₹ 78.1 L
11,Nyati Exuberance,2 BHK,688 sq.ft. (64 sq.m.) Super built-up Area,2 BHK Apartment in Undri,15,₹ 58 L
12,Kalpataru Jade Residences,3 BHK,"1,350 sq.ft. (125 sq.m.) Carpet Area",3 BHK Apartment in Baner,9,"₹ 2.5 Cr₹ 18,518/sq.ft."
13,La Centra,2 BHK,"683-1,548 sq.ft. (63-144 sq.m.) Carpet Area",2 BHK Apartment in Tathawade,7,₹ 56.96  - 92.4 L
14,Madhur Aangan,2 BHK,640-644 sq.ft. (59-60 sq.m.) Carpet Area,2 BHK Apartment in Ravet,7,₹ 49.5 L Onwards
15,Tathawade Mhada,2 BHK,851 sq.ft. (79 sq.m.) Carpet Area,2 BHK Apartment in Tathawade,9,₹ 68 L
16,Shivraj Krushnaraj Park,,"1,000 sq.ft. (93 sq.m.) Plot Area",Residential land / Plot in Wadki,15,₹ 7 L
17,Shapoorji Joyville Sensorium,3 BHK3 Baths,979 sq.ft. (91 sq.m.) Carpet Area,3 BHK Apartment in Hinjewadi,15,"₹ 1.07 Cr₹ 10,979/sq.ft."
18,Shapoorji Joyville Sensorium,2 BHK2 Baths,715-792 sq.ft. (66-74 sq.m.) Carpet Area,2 BHK Apartment in Hinjewadi,15,"₹ 78.5  - 86.95 L₹ 10,972/sq.ft."
19,Kolte Patil Crown,2 BHK2 Baths,637-674 sq.ft. (59-63 sq.m.) Carpet Area,2 BHK Apartment in Moshi,15,₹ 38.52  - 40.37 L
20,Elated Khushvista,2 BHK,711-715 sq.ft. (66-66 sq.m.) Carpet Area,2 BHK Apartment in NIBM,15,₹ 49  - 49.28 L
21,Aishwaryam Insignia,2 BHK,670 sq.ft. (62 sq.m.) Carpet Area,2 BHK Apartment in Punawale,5,₹ 48.8 L
22,Royal Purandar,,"10,000 sq.ft. (929 sq.m.) Plot Area",Residential land / Plot in Devadi,5,₹ 55 L₹ 550/sq.ft.
23,Leisure Town,2 BHK2 Baths,743 sq.ft. (69 sq.m.) Carpet Area,2 BHK Apartment in Hadapsar,7,₹ 83 L
24,Park Titan,3 BHK,"988-1,212 sq.ft. (92-113 sq.m.) Carpet Area",3 BHK Apartment in Marunji,9,₹ 94 L - 1.16 Cr
25,Leisure Town,1 BHK1 Bath,460 sq.ft. (43 sq.m.) Carpet Area,1 BHK Apartment in Hadapsar,7,₹ 49 L
26,Park Titan,2 BHK,726-789 sq.ft. (67-73 sq.m.) Carpet Area,2 BHK Apartment in Marunji,9,₹ 70  - 76 L
27,Pethkar Siyona4.4 ★,3 BHK3 Baths,"1,090-1,120 sq.ft. (101-104 sq.m.) Carpet Area",3 BHK Apartment in Punawale,15,"₹ 1.01  - 1.05 Cr₹ 9,320/sq.ft."
28,Pethkar Siyona4.4 ★,2 BHK2 Baths,840-880 sq.ft. (78-82 sq.m.) Carpet Area,2 BHK Apartment in Punawale,15,"₹ 70  - 74 L₹ 8,371/sq.ft."
29,Ganraj Skydale,2 BHK,541-674 sq.ft. (50-63 sq.m.) Carpet Area,2 BHK Apartment in Undri,15,₹ 35.47  - 45 L
30,Ganraj Skydale,1 BHK1 Bath,415-466 sq.ft. (39-43 sq.m.) Carpet Area,1 BHK Apartment in Undri,15,₹ 27.91  - 30.97 L
31,Vansh Viva,2 BHK,687-710 sq.ft. (64-66 sq.m.) Carpet Area,2 BHK Apartment in Kiwale,9,₹ 43.61  - 44.91 L
32,Vansh Viva,1 BHK,445-468 sq.ft. (41-43 sq.m.) Carpet Area,1 BHK Apartment in Kiwale,9,₹ 30.65  - 32.15 L
33,Shubh Nirvana,3 BHK3 Baths,"1,117-1,248 sq.ft. (104-116 sq.m.) Carpet Area",3 BHK Apartment in Viman Nagar,31,₹ 1.55  - 1.75 Cr
34,Bright Aristo,2 BHK2 Baths,680 sq.ft. (63 sq.m.) Carpet Area,2 BHK Apartment in Wagholi,5,₹ 42 L
35,Bright Aristo,1 BHK1 Bath,484 sq.ft. (45 sq.m.) Carpet Area,1 BHK Apartment in Wagholi,5,₹ 35 L
36,Panchshil Towers4.4 ★,3 BHK,"1,648-3,405 sq.ft. (153-316 sq.m.) Super built-up Area",3 BHK Apartment in Kharadi,6,"₹ 2.68  - 5.54 Cr₹ 16,265/sq.ft."
37,Kumar Palmcrest,2 BHK2 Baths,779 sq.ft. (72 sq.m.) Carpet Area,2 BHK Apartment in Pisoli,15,Price on Request
38,Samarth Mrudula Residency,1 BHK,374-490 sq.ft. (35-46 sq.m.) Carpet Area,1 BHK Apartment in Bhosari,34,"₹ 33  - 38 L₹ 7,807/sq.ft."
39,Unika,3 BHK,"1,067 sq.ft. (99 sq.m.) Carpet Area",3 BHK Apartment in Hadapsar,12,₹ 1.05 Cr
40,Nivasa Enchante,3 BHK3 Baths,854 sq.ft. (79 sq.m.) Carpet Area,3 BHK Apartment in Lohegaon,7,₹ 79.04 L
41,Nivasa Enchante,2 BHK,672-771 sq.ft. (62-72 sq.m.) Carpet Area,2 BHK Apartment in Lohegaon,7,₹ 57.17  - 65.14 L
42,Tirupati Nakshatra,2 BHK,665 sq.ft. (62 sq.m.) Carpet Area,2 BHK Apartment in Marunji,8,₹ 36.22 L
43,Tirupati Nakshatra,1 BHK,452-456 sq.ft. (42-42 sq.m.) Carpet Area,1 BHK Apartment in Marunji,8,₹ 25.1  - 25.29 L
44,Runal Spacio,3 BHK2 Baths,801-905 sq.ft. (74-84 sq.m.) Carpet Area,3 BHK Apartment in Kiwale,15,"₹ 72  - 80 L₹ 8,913/sq.ft."
45,Runal Spacio,2 BHK2 Baths,672-739 sq.ft. (62-69 sq.m.) Carpet Area,2 BHK Apartment in Kiwale,15,"₹ 62  - 68 L₹ 9,213/sq.ft."
46,Shapoorji Joyville Hadapsar Annexe4.4 ★,3 BHK,894 sq.ft. (83 sq.m.) Carpet Area,3 BHK Apartment in Shewalewadi,15,₹ 94.4 L
47,Shapoorji Joyville Hadapsar Annexe4.4 ★,2 BHK,619-726 sq.ft. (58-67 sq.m.) Carpet Area,2 BHK Apartment in Shewalewadi,15,₹ 68.2  - 74.2 L
48,Shapoorji Joyville Hadapsar Annexe4.4 ★,1 BHK,430 sq.ft. (40 sq.m.) Carpet Area,1 BHK Apartment in Shewalewadi,15,₹ 42.02 L
49,Gulmohar Sky Park,2 BHK,631-645 sq.ft. (59-60 sq.m.) Carpet Area,2 BHK Apartment in Dhanori,6,₹ 50.67  - 54.64 L
50,Kumar Peninsula,3 BHK3 Baths,"995-1,364 sq.ft. (92-127 sq.m.) Carpet Area",3 BHK Apartment in Baner,15,"₹ 1.51  - 2.07 Cr₹ 15,178/sq.ft."
51,Kalpataru Exquisite,3 BHK,"1,122 sq.ft. (104 sq.m.) Super built-up Area",3 BHK Apartment in Wakad,15,"₹ 1.14 Cr₹ 10,160/sq.ft."
52,Goodwill Meadows4.2 ★,2 BHK2 Baths,333 sq.ft. (31 sq.m.) Carpet Area,2 BHK Apartment in Lohegaon,30,"₹ 48 L₹ 14,394/sq.ft."
53,Orchid Homes,3 BHK,"1,091 sq.ft. (101 sq.m.) Carpet Area",3 BHK Apartment in Chinchwad,17,₹ 100 L
54,Orchid Homes,2 BHK,780-835 sq.ft. (72-78 sq.m.) Carpet Area,2 BHK Apartment in Chinchwad,17,₹ 73.44  - 78.27 L
55,NG Rathi Vrundavan,2 BHK2 Baths,608 sq.ft. (56 sq.m.) Carpet Area,2 BHK Apartment in Vishrantwadi,49,₹ 56 L
56,Manasi Residency,2 BHK1 Bath,575 sq.ft. (53 sq.m.) Carpet Area,2 BHK Apartment in Kondhwa Budruk,29,₹ 47 L
57,Manasi Residency,1 BHK1 Bath,503 sq.ft. (47 sq.m.) Carpet Area,1 BHK Apartment in Kondhwa Budruk,29,₹ 40 L
58,Townscape Sneh Mithila,2 BHK,796 sq.ft. (74 sq.m.) Carpet Area,2 BHK Apartment in Pimple Saudagar,6,₹ 70 L
59,Mulik Luxuria3.3 ★,2 BHK,786-811 sq.ft. (73-75 sq.m.) Carpet Area,2 BHK Apartment in Wagholi,15,₹ 50.62  - 52.05 L
60,Greenville,3 BHK3 Baths,"992-1,109 sq.ft. (92-103 sq.m.) Carpet Area",3 BHK Apartment in Hadapsar,4,₹ 96.62 L - 1.08 Cr
61,Unika,2 BHK,795 sq.ft. (74 sq.m.) Carpet Area,2 BHK Apartment in Hadapsar,12,₹ 78 L
62,Jhala Group Mahalunge Riviera,3 BHK,955-989 sq.ft. (89-92 sq.m.) Carpet Area,3 BHK Apartment in Mahalunge,14,₹ 93.5  - 95 L
63,Rohan VITI,3 BHK,"1,065 sq.ft. (99 sq.m.) Carpet Area",3 BHK Apartment in Wakad,6,₹ 1.25 Cr
64,Rohan VITI,2 BHK,798 sq.ft. (74 sq.m.) Carpet Area,2 BHK Apartment in Wakad,6,₹ 93 L
65,Pride SOHO,3 BHK,950 sq.ft. (88 sq.m.) Carpet Area,3 BHK Apartment in Charholi,12,₹ 74.71 L
66,Pride SOHO,2 BHK,783-786 sq.ft. (73-73 sq.m.) Carpet Area,2 BHK Apartment in Charholi,12,₹ 60.25  - 60.51 L
67,JD Gaatha,3 BHK,"998-1,056 sq.ft. (93-98 sq.m.) Carpet Area",3 BHK Apartment in Lohegaon,8,₹ 71.87  - 75.72 L
68,JD Gaatha,2 BHK,722-819 sq.ft. (67-76 sq.m.) Carpet Area,2 BHK Apartment in Lohegaon,8,₹ 53.51  - 59.96 L
69,iLife Upper NIBM,3 BHK,"1,025-1,031 sq.ft. (95-96 sq.m.) Carpet Area",3 BHK Apartment in NIBM,14,₹ 84.65  - 85.11 L
70,iLife Upper NIBM,2 BHK,715-872 sq.ft. (66-81 sq.m.) Carpet Area,2 BHK Apartment in NIBM,14,₹ 60.83  - 72.89 L
71,Tikona Srushti,,"14,000-23,134 sq.ft. (1301-2149 sq.m.) Plot Area",Residential land / Plot in Hadashi,5,Price on Request
72,Mulik Luxuria3.3 ★,3 BHK3 Baths,"1,004-1,052 sq.ft. (93-98 sq.m.) Carpet Area",3 BHK Apartment in Wagholi,15,₹ 63.26  - 66.06 L
73,Mulik Luxuria3.3 ★,1 BHK,440 sq.ft. (41 sq.m.) Carpet Area,1 BHK Apartment in Wagholi,15,₹ 28.55 L
74,Rohit Aloha,2 BHK,770 sq.ft. (72 sq.m.) Carpet Area,2 BHK Apartment in Wakad,10,₹ 70.01 L
75,Miravet District,2 BHK,842-869 sq.ft. (78-81 sq.m.) Carpet Area,2 BHK Apartment in Ravet,15,₹ 66.67  - 68.81 L
76,Jogeshwari Sun City4.4 ★,,"1,000 sq.ft. (93 sq.m.) Plot Area",Residential land / Plot in Wagholi,10,"₹ 22 L₹ 2,200/sq.ft."
77,LMS Finswell Woods,2 BHK2 Baths,773-782 sq.ft. (72-73 sq.m.) Carpet Area,2 BHK Apartment in Viman Nagar,47,"₹ 98  - 99 L₹ 12,668/sq.ft."
78,Mangal Shanti Mansha Phase 2,2 BHK2 Baths,640-700 sq.ft. (59-65 sq.m.) Carpet Area,2 BHK Apartment in Wagholi,13,"₹ 45.21  - 49.07 L₹ 7,036/sq.ft."
79,Solitere Emerald Tower,2 BHK,741-805 sq.ft. (69-75 sq.m.) Carpet Area,2 BHK Apartment in Vadgaon Budruk,50,₹ 65  - 70.65 L
80,Kuber Antonia,2 BHK2 Baths,730 sq.ft. (68 sq.m.) Carpet Area,2 BHK Apartment in Wakad,48,₹ 66.57 L
81,Maithili Square,2 BHK,560-729 sq.ft. (52-68 sq.m.) Carpet Area,2 BHK Apartment in Kiwale,6,₹ 40.31  - 52.37 L
82,Anika Piccadilly,2 BHK2 Baths,747 sq.ft. (69 sq.m.) Carpet Area,2 BHK Apartment in Punawale,15,"₹ 55 L₹ 7,362/sq.ft."
83,Mandarin 33 West Avenue,3 BHK,"1,428-1,723 sq.ft. (133-160 sq.m.) Carpet Area",3 BHK Apartment in Baner,49,"₹ 2.21  - 2.97 Cr₹ 16,700/sq.ft."
84,Godrej Woodsville,3 BHK,973 sq.ft. (90 sq.m.) Carpet Area,3 BHK Apartment in Hinjewadi,6,₹ 99.6 L
85,Godrej Woodsville,2 BHK,771 sq.ft. (72 sq.m.) Carpet Area,2 BHK Apartment in Hinjewadi,6,₹ 78.1 L
86,Nyati Exuberance,2 BHK,688 sq.ft. (64 sq.m.) Super built-up Area,2 BHK Apartment in Undri,15,₹ 58 L
87,Kalpataru Jade Residences,3 BHK,"1,350 sq.ft. (125 sq.m.) Carpet Area",3 BHK Apartment in Baner,9,"₹ 2.5 Cr₹ 18,518/sq.ft."
88,La Centra,2 BHK,"683-1,548 sq.ft. (63-144 sq.m.) Carpet Area",2 BHK Apartment in Tathawade,7,₹ 56.96  - 92.4 L
89,Madhur Aangan,2 BHK,640-644 sq.ft. (59-60 sq.m.) Carpet Area,2 BHK Apartment in Ravet,7,₹ 49.5 L Onwards
90,Tathawade Mhada,2 BHK,851 sq.ft. (79 sq.m.) Carpet Area,2 BHK Apartment in Tathawade,9,₹ 68 L
91,Shivraj Krushnaraj Park,,"1,000 sq.ft. (93 sq.m.) Plot Area",Residential land / Plot in Wadki,15,₹ 7 L
92,Shapoorji Joyville Sensorium,3 BHK3 Baths,979 sq.ft. (91 sq.m.) Carpet Area,3 BHK Apartment in Hinjewadi,15,"₹ 1.07 Cr₹ 10,979/sq.ft."
93,Shapoorji Joyville Sensorium,2 BHK2 Baths,715-792 sq.ft. (66-74 sq.m.) Carpet Area,2 BHK Apartment in Hinjewadi,15,"₹ 78.5  - 86.95 L₹ 10,972/sq.ft."
94,Kolte Patil Crown,2 BHK2 Baths,637-674 sq.ft. (59-63 sq.m.) Carpet Area,2 BHK Apartment in Moshi,15,₹ 38.52  - 40.37 L
95,Elated Khushvista,2 BHK,711-715 sq.ft. (66-66 sq.m.) Carpet Area,2 BHK Apartment in NIBM,15,₹ 49  - 49.28 L
96,Aishwaryam Insignia,2 BHK,670 sq.ft. (62 sq.m.) Carpet Area,2 BHK Apartment in Punawale,5,₹ 48.8 L
97,Royal Purandar,,"10,000 sq.ft. (929 sq.m.) Plot Area",Residential land / Plot in Devadi,5,₹ 55 L₹ 550/sq.ft.
98,Leisure Town,2 BHK2 Baths,743 sq.ft. (69 sq.m.) Carpet Area,2 BHK Apartment in Hadapsar,7,₹ 83 L
99,Park Titan,3 BHK,"988-1,212 sq.ft. (92-113 sq.m.) Carpet Area",3 BHK Apartment in Marunji,9,₹ 94 L - 1.16 Cr
100,Leisure Town,1 BHK1 Bath,51 sq.yards (43 sq.m.) Carpet Area,1 BHK Apartment in Hadapsar,7,₹ 49 L
101,Park Titan,2 BHK,80-87 sq.yards (67-73 sq.m.) Carpet Area,2 BHK Apartment in Marunji,9,₹ 70  - 76 L
102,Pethkar Siyona4.4 ★,3 BHK3 Baths,121-124 sq.yards (101-104 sq.m.) Carpet Area,3 BHK Apartment in Punawale,15,"₹ 1.01  - 1.05 Cr₹ 9,320/sq.ft."
103,Pethkar Siyona4.4 ★,2 BHK2 Baths,93-97 sq.yards (78-82 sq.m.) Carpet Area,2 BHK Apartment in Punawale,15,"₹ 70  - 74 L₹ 8,371/sq.ft."
104,Ganraj Skydale,2 BHK,60-74 sq.yards (50-63 sq.m.) Carpet Area,2 BHK Apartment in Undri,15,₹ 35.47  - 45 L
105,Ganraj Skydale,1 BHK1 Bath,46-51 sq.yards (39-43 sq.m.) Carpet Area,1 BHK Apartment in Undri,15,₹ 27.91  - 30.97 L
106,Vansh Viva,2 BHK,76-78 sq.yards (64-66 sq.m.) Carpet Area,2 BHK Apartment in Kiwale,9,₹ 43.61  - 44.91 L
107,Vansh Viva,1 BHK,49-52 sq.yards (41-43 sq.m.) Carpet Area,1 BHK Apartment in Kiwale,9,₹ 30.65  - 32.15 L
108,Shubh Nirvana,3 BHK3 Baths,124-138 sq.yards (104-116 sq.m.) Carpet Area,3 BHK Apartment in Viman Nagar,31,₹ 1.55  - 1.75 Cr
109,Bright Aristo,2 BHK2 Baths,75 sq.yards (63 sq.m.) Carpet Area,2 BHK Apartment in Wagholi,5,₹ 42 L
110,Bright Aristo,1 BHK1 Bath,53 sq.yards (45 sq.m.) Carpet Area,1 BHK Apartment in Wagholi,5,₹ 35 L
111,Panchshil Towers4.4 ★,3 BHK,183-378 sq.yards (153-316 sq.m.) Super built-up Area,3 BHK Apartment in Kharadi,6,"₹ 2.68  - 5.54 Cr₹ 16,265/sq.ft."
112,Kumar Palmcrest,2 BHK2 Baths,86 sq.yards (72 sq.m.) Carpet Area,2 BHK Apartment in Pisoli,15,Price on Request
113,Samarth Mrudula Residency,1 BHK,41-54 sq.yards (35-46 sq.m.) Carpet Area,1 BHK Apartment in Bhosari,34,"₹ 33  - 38 L₹ 7,807/sq.ft."
114,Unika,3 BHK,118 sq.yards (99 sq.m.) Carpet Area,3 BHK Apartment in Hadapsar,12,₹ 1.05 Cr
115,Nivasa Enchante,3 BHK3 Baths,94 sq.yards (79 sq.m.) Carpet Area,3 BHK Apartment in Lohegaon,7,₹ 79.04 L
116,Nivasa Enchante,2 BHK,74-85 sq.yards (62-72 sq.m.) Carpet Area,2 BHK Apartment in Lohegaon,7,₹ 57.17  - 65.14 L
117,Tirupati Nakshatra,2 BHK,73 sq.yards (62 sq.m.) Carpet Area,2 BHK Apartment in Marunji,8,₹ 36.22 L
118,Tirupati Nakshatra,1 BHK,50-50 sq.yards (42-42 sq.m.) Carpet Area,1 BHK Apartment in Marunji,8,₹ 25.1  - 25.29 L
119,Runal Spacio,3 BHK2 Baths,89-100 sq.yards (74-84 sq.m.) Carpet Area,3 BHK Apartment in Kiwale,15,"₹ 72  - 80 L₹ 8,913/sq.ft."
120,Runal Spacio,2 BHK2 Baths,74-82 sq.yards (62-69 sq.m.) Carpet Area,2 BHK Apartment in Kiwale,15,"₹ 62  - 68 L₹ 9,213/sq.ft."
121,Shapoorji Joyville Hadapsar Annexe4.4 ★,3 BHK,99 sq.yards (83 sq.m.) Carpet Area,3 BHK Apartment in Shewalewadi,15,₹ 94.4 L
122,Shapoorji Joyville Hadapsar Annexe4.4 ★,2 BHK,68-80 sq.yards (58-67 sq.m.) Carpet Area,2 BHK Apartment in Shewalewadi,15,₹ 68.2  - 74.2 L
123,Shapoorji Joyville Hadapsar Annexe4.4 ★,1 BHK,47 sq.yards (40 sq.m.) Carpet Area,1 BHK Apartment in Shewalewadi,15,₹ 42.02 L
124,Gulmohar Sky Park,2 BHK,70-71 sq.yards (59-60 sq.m.) Carpet Area,2 BHK Apartment in Dhanori,6,₹ 50.67  - 54.64 L
125,Kumar Peninsula,3 BHK3 Baths,110-151 sq.yards (92-127 sq.m.) Carpet Area,3 BHK Apartment in Baner,15,"₹ 1.51  - 2.07 Cr₹ 15,178/sq.ft."
126,Kalpataru Exquisite,3 BHK,124 sq.yards (104 sq.m.) Super built-up Area,3 BHK Apartment in Wakad,15,"₹ 1.14 Cr₹ 10,160/sq.ft."
127,Goodwill Meadows4.2 ★,2 BHK2 Baths,37 sq.yards (31 sq.m.) Carpet Area,2 BHK Apartment in Lohegaon,30,"₹ 48 L₹ 14,394/sq.ft."
128,Orchid Homes,3 BHK,121 sq.yards (101 sq.m.) Carpet Area,3 BHK Apartment in Chinchwad,17,₹ 100 L
129,Orchid Homes,2 BHK,86-92 sq.yards (72-78 sq.m.) Carpet Area,2 BHK Apartment in Chinchwad,17,₹ 73.44  - 78.27 L
130,NG Rathi Vrundavan,2 BHK2 Baths,67 sq.yards (56 sq.m.) Carpet Area,2 BHK Apartment in Vishrantwadi,49,₹ 56 L
131,Manasi Residency,2 BHK1 Bath,63 sq.yards (53 sq.m.) Carpet Area,2 BHK Apartment in Kondhwa Budruk,29,₹ 47 L
132,Manasi Residency,1 BHK1 Bath,55 sq.yards (47 sq.m.) Carpet Area,1 BHK Apartment in Kondhwa Budruk,29,₹ 40 L
133,Townscape Sneh Mithila,2 BHK,88 sq.yards (74 sq.m.) Carpet Area,2 BHK Apartment in Pimple Saudagar,6,₹ 70 L
134,Mulik Luxuria3.3 ★,2 BHK,87-90 sq.yards (73-75 sq.m.) Carpet Area,2 BHK Apartment in Wagholi,15,₹ 50.62  - 52.05 L
135,Greenville,3 BHK3 Baths,110-123 sq.yards (92-103 sq.m.) Carpet Area,3 BHK Apartment in Hadapsar,4,₹ 96.62 L - 1.08 Cr
136,Unika,2 BHK,88 sq.yards (74 sq.m.) Carpet Area,2 BHK Apartment in Hadapsar,12,₹ 78 L
137,Jhala Group Mahalunge Riviera,3 BHK,106-109 sq.yards (89-92 sq.m.) Carpet Area,3 BHK Apartment in Mahalunge,14,₹ 93.5  - 95 L
138,Rohan VITI,3 BHK,118 sq.yards (99 sq.m.) Carpet Area,3 BHK Apartment in Wakad,6,₹ 1.25 Cr
139,Rohan VITI,2 BHK,88 sq.yards (74 sq.m.) Carpet Area,2 BHK Apartment in Wakad,6,₹ 93 L
140,Pride SOHO,3 BHK,105 sq.yards (88 sq.m.) Carpet Area,3 BHK Apartment in Charholi,12,₹ 74.71 L
141,Pride SOHO,2 BHK,87-87 sq.yards (73-73 sq.m.) Carpet Area,2 BHK Apartment in Charholi,12,₹ 60.25  - 60.51 L
142,JD Gaatha,3 BHK,110-117 sq.yards (93-98 sq.m.) Carpet Area,3 BHK Apartment in Lohegaon,8,₹ 71.87  - 75.72 L
143,JD Gaatha,2 BHK,80-91 sq.yards (67-76 sq.m.) Carpet Area,2 BHK Apartment in Lohegaon,8,₹ 53.51  - 59.96 L
144,iLife Upper NIBM,3 BHK,113-114 sq.yards (95-96 sq.m.) Carpet Area,3 BHK Apartment in NIBM,14,₹ 84.65  - 85.11 L
145,iLife Upper NIBM,2 BHK,79-96 sq.yards (66-81 sq.m.) Carpet Area,2 BHK Apartment in NIBM,14,₹ 60.83  - 72.89 L
146,Tikona Srushti,,"1,555-2,570 sq.yards (1301-2149 sq.m.) Plot Area",Residential land / Plot in Hadashi,5,Price on Request
147,Mulik Luxuria3.3 ★,3 BHK3 Baths,111-116 sq.yards (93-98 sq.m.) Carpet Area,3 BHK Apartment in Wagholi,15,₹ 63.26  - 66.06 L
148,Mulik Luxuria3.3 ★,1 BHK,48 sq.yards (41 sq.m.) Carpet Area,1 BHK Apartment in Wagholi,15,₹ 28.55 L
149,Rohit Aloha,2 BHK,85 sq.yards (72 sq.m.) Carpet Area,2 BHK Apartment in Wakad,10,₹ 70.01 L
150,Miravet District,2 BHK,842-869 sq.ft. (78-81 sq.m.) Carpet Area,2 BHK Apartment in Ravet,15,₹ 66.67  - 68.81 L
151,Jogeshwari Sun City4.4 ★,,"1,000 sq.ft. (93 sq.m.) Plot Area",Residential land / Plot in Wagholi,10,"₹ 22 L₹ 2,200/sq.ft."
152,LMS Finswell Woods,2 BHK2 Baths,773-782 sq.ft. (72-73 sq.m.) Carpet Area,2 BHK Apartment in Viman Nagar,47,"₹ 98  - 99 L₹ 12,668/sq.ft."
153,Mangal Shanti Mansha Phase 2,2 BHK2 Baths,640-700 sq.ft. (59-65 sq.m.) Carpet Area,2 BHK Apartment in Wagholi,13,"₹ 45.21  - 49.07 L₹ 7,036/sq.ft."
154,Solitere Emerald Tower,2 BHK,741-805 sq.ft. (69-75 sq.m.) Carpet Area,2 BHK Apartment in Vadgaon Budruk,50,₹ 65  - 70.65 L
155,Kuber Antonia,2 BHK2 Baths,730 sq.ft. (68 sq.m.) Carpet Area,2 BHK Apartment in Wakad,48,₹ 66.57 L
156,Maithili Square,2 BHK,560-729 sq.ft. (52-68 sq.m.) Carpet Area,2 BHK Apartment in Kiwale,6,₹ 40.31  - 52.37 L
157,Anika Piccadilly,2 BHK2 Baths,747 sq.ft. (69 sq.m.) Carpet Area,2 BHK Apartment in Punawale,15,"₹ 55 L₹ 7,362/sq.ft."
158,Mandarin 33 West Avenue,3 BHK,"1,428-1,723 sq.ft. (133-160 sq.m.) Carpet Area",3 BHK Apartment in Baner,49,"₹ 2.21  - 2.97 Cr₹ 16,700/sq.ft."
159,Godrej Woodsville,3 BHK,973 sq.ft. (90 sq.m.) Carpet Area,3 BHK Apartment in Hinjewadi,6,₹ 99.6 L
160,Godrej Woodsville,2 BHK,771 sq.ft. (72 sq.m.) Carpet Area,2 BHK Apartment in Hinjewadi,6,₹ 78.1 L
161,Nyati Exuberance,2 BHK,688 sq.ft. (64 sq.m.) Super built-up Area,2 BHK Apartment in Undri,15,₹ 58 L
162,Kalpataru Jade Residences,3 BHK,"1,350 sq.ft. (125 sq.m.) Carpet Area",3 BHK Apartment in Baner,9,"₹ 2.5 Cr₹ 18,518/sq.ft."
163,La Centra,2 BHK,"683-1,548 sq.ft. (63-144 sq.m.) Carpet Area",2 BHK Apartment in Tathawade,7,₹ 56.96  - 92.4 L
164,Madhur Aangan,2 BHK,640-644 sq.ft. (59-60 sq.m.) Carpet Area,2 BHK Apartment in Ravet,7,₹ 49.5 L Onwards
165,Tathawade Mhada,2 BHK,851 sq.ft. (79 sq.m.) Carpet Area,2 BHK Apartment in Tathawade,9,₹ 68 L
166,Shivraj Krushnaraj Park,,"1,000 sq.ft. (93 sq.m.) Plot Area",Residential land / Plot in Wadki,15,₹ 7 L
167,Shapoorji Joyville Sensorium,3 BHK3 Baths,979 sq.ft. (91 sq.m.) Carpet Area,3 BHK Apartment in Hinjewadi,15,"₹ 1.07 Cr₹ 10,979/sq.ft."
168,Shapoorji Joyville Sensorium,2 BHK2 Baths,715-792 sq.ft. (66-74 sq.m.) Carpet Area,2 BHK Apartment in Hinjewadi,15,"₹ 78.5  - 86.95 L₹ 10,972/sq.ft."
169,Kolte Patil Crown,2 BHK2 Baths,637-674 sq.ft. (59-63 sq.m.) Carpet Area,2 BHK Apartment in Moshi,15,₹ 38.52  - 40.37 L
170,Elated Khushvista,2 BHK,711-715 sq.ft. (66-66 sq.m.) Carpet Area,2 BHK Apartment in NIBM,15,₹ 49  - 49.28 L
